Chromossome	First_index	Last_index	Citoband	Unkown	Size	TandemRepeats_dens	STRs_dens	LTRs_dens	DRs_density	CDSs_density	CDSIntron_density	CDSExon_density	five_prime_UTRs_density	five_prime_UTRIntron_density	five_prime_UTRExon_density	three_prime_UTRs_density	three_prime_UTRIntron_density	three_prime_UTRExon_density	exons_density	SNP_density	Indel_density	Inserts_density	Deletes_density
chr1	39600000	43699999	p34.2	gpos25	4099999	0.0267243968	0.0073941481	0.0228848836	0.3416049614	0.0114085394	0.0094380511	0.0019704883	0.006431465	0.0027909763	0.0036404887	0.0311817149	0.0300324463	0.0011492686	0.0688817241	0.0257244	0.0083356	0.0021970737	0.0061670747
chr1	43700000	46299999	p34.1	gneg	2599999	0.044636171	0.007185772	0.0397703999	0.3317470507	0.0130796204	0.0107942349	0.0022853855	0.0097269268	0.0056365406	0.0040903862	0.0222057778	0.0213215467	0.0008842311	0.0692088728	0.0242069	0.0081831	0.0020973085	0.0061134639
chr1	46300000	50199999	p33	gpos75	3899999	0.0214800055	0.0060046169	0.017975902	0.173309788	0.0041246164	0.0034202573	0.0007043592	0.0034356419	0.0019238466	0.0015117953	0.0150197474	0.014965132	5.46154e-05	0.0358125733	0.0240541	0.0068351	0.0016520517	0.0051961552
chr1	50200000	55599999	p32.3	gneg	5399999	0.0321966726	0.006406853	0.0282216719	0.2708007909	0.0068144457	0.0052194454	0.0015950003	0.0041579637	0.0017498151	0.0024081486	0.0280325978	0.0275566718	0.000475926	0.059365011	0.0259132	0.0086717	0.0022411115	0.0064616679
chr1	55600000	58499999	p32.2	gpos50	2899999	0.0179517303	0.0076262095	0.0138810393	0.2000128276	0.0012006901	0.0009293107	0.0002713794	0.0005151726	0.0002306897	0.0002844829	0.0064448298	0.0063900022	5.48276e-05	0.0193782825	0.0273141	0.00725	0.0019182765	0.0053506915
chr1	58500000	60799999	p32.1	gneg	2299999	0.0152695719	0.0064234811	0.0115247876	0.2677544642	0.0023234793	0.001815653	0.0005078263	0.0012652179	0.0007621742	0.0005030437	0.0098078304	0.0098078304	0.0	0.0435856711	0.0263331	0.0072535	0.0018791313	0.005392611
chr1	60800000	68499999	p31.3	gpos50	7699999	0.0203041585	0.0065919489	0.0157702618	0.2758157501	0.0039001304	0.0026872731	0.0012128573	0.0027241562	0.0011935066	0.0015306495	0.0160728592	0.0159022099	0.0001706494	0.0397875376	0.0254325	0.0083016	0.0021971431	0.0061350657
chr1	68500000	69299999	p31.2	gneg	799999	0.0142762678	0.0053862567	0.0110612638	0.0492625616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013581267	0.0244325	0.0072	0.0016437521	0.005577507
chr1	69300000	84399999	p31.1	gpos100	15099999	0.0162840408	0.0056526494	0.012637683	0.1081595436	0.001928212	0.0014538412	0.0004743709	0.001042914	0.0003596689	0.0006832451	0.0096941728	0.0093501331	0.0003440398	0.0242752996	0.025344	0.0081598	0.0020241061	0.0061593382
chr1	84400000	87899999	p22.3	gneg	3499999	0.0167511476	0.0048068585	0.0137311468	0.232537495	0.0038817154	0.0024745721	0.0014071433	0.0020668577	0.0004780001	0.0015888576	0.0195588627	0.0194611484	9.77143e-05	0.0420714406	0.025216	0.0082283	0.0020208577	0.0062382875
chr1	87900000	91499999	p22.2	gpos75	3599999	0.0182641717	0.0055613904	0.0150444486	0.1849689403	0.005223057	0.0041766678	0.0010463892	0.002328334	0.0012583337	0.0010700003	0.0132072259	0.0131722259	3.5e-05	0.0398780666	0.0245439	0.0079531	0.0020850006	0.0058950016
chr1	91500000	94299999	p22.1	gneg	2799999	0.0212264362	0.0053978591	0.0176332206	0.341087979	0.0062928594	0.0050800018	0.0012128576	0.0041767872	0.0021485722	0.002028215	0.0251657233	0.0248657232	0.0003000001	0.0563710916	0.0239922	0.0085736	0.0022364294	0.006361788
chr1	94300000	99299999	p21.3	gpos75	4999999	0.0163018033	0.0054592011	0.0127558026	0.1592778319	0.0009060002	0.0005738001	0.0003322001	0.0006832001	0.0001448	0.0005384001	0.0072496014	0.0072496014	0.0	0.0253246051	0.0254606	0.0076232	0.0018900004	0.0057560012
chr1	99300000	101799999	p21.2	gneg	2499999	0.0180692072	0.0062148025	0.0138944056	0.2466368987	0.0042696017	0.0032824013	0.0009872004	0.002383201	0.0012128005	0.0011704005	0.0248160099	0.0243016097	0.0005144002	0.0529028212	0.0259176	0.0084648	0.0022152009	0.0062792025
chr1	101800000	106699999	p21.1	gpos100	4899999	0.0213567391	0.0077779608	0.0168908198	0.0228340863	0.0008565308	0.0006659185	0.0001906123	0.0008808165	0.0006289797	0.0002518368	0.0014924493	0.0013781635	0.0001142857	0.0099479612	0.0278655	0.0087476	0.0022373474	0.006539185
chr1	106700000	111199999	p13.3	gneg	4499999	0.0186531153	0.0055044457	0.0153993368	0.2817676182	0.0092535576	0.0076184461	0.0016351115	0.0063453347	0.003825112	0.0025202228	0.0347653411	0.0339613409	0.0008040002	0.0762442392	0.0245693	0.0076069	0.0019428893	0.005695779
chr1	111200000	115499999	p13.2	gpos50	4299999	0.0236225636	0.0060627921	0.0195493069	0.2693170394	0.0067206992	0.0053355826	0.0013851166	0.0056634897	0.0032104659	0.0024530238	0.024223494	0.0239807033	0.0002427908	0.0585911764	0.0254354	0.0079684	0.0019344191	0.0060546526
chr1	115500000	117199999	p13.1	gneg	1699999	0.0156276563	0.0058694152	0.011520595	0.3794849291	0.0044641203	0.0034229432	0.0010411771	0.0063411802	0.0043594143	0.0019817659	0.023502955	0.022958837	0.000544118	0.0525606192	0.02623	0.0074788	0.0019788247	0.0055176503
chr1	117200000	120399999	p12	gpos50	3199999	0.0161253175	0.0059518769	0.0127584415	0.215876005	0.0045296889	0.0039453137	0.0005843752	0.001728438	0.0004759376	0.0012525004	0.0167387552	0.0166718802	6.6875e-05	0.0397459499	0.0230034	0.0067919	0.0016956255	0.0051131266
chr1	120400000	121699999	p11.2	gneg	1299999	0.0903431464	0.0070369285	0.0860585277	0.2430201869	0.0019546169	0.0012723087	0.0006823082	0.0020207708	0.0013984626	0.0006223082	0.0098961615	0.0098961615	0.0	0.0405715697	0.0053677	0.0015485	0.0003176926	0.0012415394
chr1	121700000	123399999	p11.1	acen	1699999	0.9650829206	0.000124706	0.9650829206	0.0049182382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001624	0.0	0.0	0.0
chr1	123400000	125099999	q11	acen	1699999	0.982375872	0.0008194122	0.9822464601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00491	0.00046	0.0001070589	0.0003529414
chr1	125100000	143199999	q12	gvar	18099999	0.002935304	0.000168895	0.0029341991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001348	2.23e-05	2.3757e-06	2.01105e-05
chr1	143200000	147499999	q21.1	gneg	4299999	0.0915488585	0.0141755847	0.0872774622	0.1897298116	0.0037581404	0.0031265124	0.0006316281	0.0028030239	0.0008700002	0.0019330237	0.0146769802	0.0145562825	0.0001206977	0.0428379169	0.0083477	0.0025186	0.000667442	0.0018590702
chr1	147500000	150599999	q21.2	gpos50	3099999	0.043272272	0.0073490346	0.038588077	0.2910910616	0.0098977451	0.0083180672	0.0015796779	0.0053661308	0.0023458072	0.0030203236	0.0278509767	0.0273771056	0.0004738711	0.0835097044	0.0121645	0.0041213	0.0011748391	0.0029629042
chr1	150600000	155099999	q21.3	gneg	4499999	0.0508044557	0.007162446	0.0463155658	0.3154278479	0.0249842278	0.0227851162	0.0021991116	0.0111997803	0.0052680012	0.0059317791	0.0398237866	0.0391560087	0.0006677779	0.101097578	0.0249287	0.0077282	0.0021191116	0.0056408901
chr1	155100000	156599999	q22	gpos50	1499999	0.0640933761	0.0076726718	0.0592133728	0.3992049328	0.0288373526	0.0243633496	0.004474003	0.0130040087	0.0069720046	0.006032004	0.0461526974	0.045482697	0.0006700004	0.1352034235	0.0223793	0.007488	0.001954668	0.005565337
chr1	156600000	159099999	q23.1	gneg	2499999	0.017438407	0.004970402	0.0138524055	0.2844049138	0.0141600057	0.012531605	0.0016284007	0.0072628029	0.0037632015	0.0034996014	0.0259776104	0.0254436102	0.0005340002	0.0710744284	0.0279384	0.0079056	0.0019900008	0.0059400024
chr1	159100000	160499999	q23.2	gpos50	1399999	0.0172664409	0.0055371468	0.0139171528	0.2847644891	0.0152350109	0.0118935799	0.003341431	0.0053271467	0.0023207159	0.0030064307	0.0364285974	0.0359150257	0.0005135718	0.0941093529	0.0263779	0.0071786	0.0018350013	0.0053692895
chr1	160500000	165499999	q23.3	gneg	4999999	0.0221036044	0.0066442013	0.0177830036	0.2660174532	0.0059132012	0.004895201	0.0010180002	0.0042414008	0.0015244003	0.0027170005	0.0230214046	0.0226526045	0.0003688001	0.04998461	0.0263724	0.0076878	0.0020904004	0.0056272011
chr1	165500000	167199999	q24.1	gpos50	1699999	0.019508835	0.0059935329	0.0160400094	0.1568447981	0.0051376501	0.0042835319	0.0008541181	0.0028276487	0.0013394126	0.0014882362	0.0203353061	0.020172953	0.000162353	0.0469117923	0.0271888	0.0082388	0.0020576483	0.0062035331
chr1	167200000	170899999	q24.2	gneg	3699999	0.0185078428	0.0062091909	0.0146554094	0.2736568307	0.004726758	0.0037535145	0.0009732435	0.0038527037	0.0015248653	0.0023278385	0.0217235194	0.0209048705	0.0008186489	0.0508794732	0.0263543	0.0080862	0.0021743249	0.0059332448
chr1	170900000	172999999	q24.3	gpos75	2099999	0.0206047717	0.0057866694	0.0168461985	0.2657906028	0.0059595266	0.0036561922	0.0023033344	0.0028747633	0.0012028577	0.0016719056	0.0137119113	0.0135752446	0.0001366667	0.0325085869	0.0250814	0.0076652	0.0021619058	0.0055295264
chr1	173000000	176099999	q25.1	gneg	3099999	0.0230174268	0.0063903246	0.0190667803	0.1754110243	0.0034922592	0.0027887106	0.0007035486	0.0025441944	0.0014174198	0.0011267746	0.0231106526	0.0228474267	0.0002632259	0.0414258198	0.0247936	0.0078023	0.0020019361	0.0058216148
chr1	176100000	180299999	q25.2	gpos50	4199999	0.0202592905	0.0062823824	0.0166069087	0.2010640955	0.0047961916	0.004090001	0.0007061906	0.0030542864	0.0011414288	0.0019128576	0.0217614338	0.0213428622	0.0004185715	0.0462254872	0.0253312	0.0080629	0.0019609528	0.006123811
chr1	180300000	185799999	q25.3	gneg	5499999	0.0176440032	0.0053054555	0.0142021844	0.2834407788	0.0043292735	0.0030916369	0.0012376366	0.0028218187	0.0007996365	0.0020221822	0.0213665493	0.0212381857	0.0001283637	0.0453967355	0.0259178	0.0080647	0.0022149095	0.0058825465
chr1	185800000	190799999	q31.1	gpos100	4999999	0.0189506038	0.0067654014	0.015127003	0.0774062155	0.0013988003	0.0011936002	0.0002052	0.0004250001	0.0001814	0.0002436	0.0021000004	0.0019918004	0.0001082	0.0127962026	0.0269766	0.0090182	0.0022696005	0.0067752014
chr1	190800000	193799999	q31.2	gneg	2999999	0.018875673	0.0066446689	0.0150673384	0.123123041	0.0015066672	0.0013210004	0.0001856667	0.0009353336	0.0003866668	0.0005486668	0.0087800029	0.0087793363	6.667e-07	0.0235690079	0.0254857	0.0087027	0.0020370007	0.0066936689
chr1	193800000	198699999	q31.3	gpos100	4899999	0.0187918406	0.0070481647	0.0146246969	0.1078794098	0.0032265313	0.0024085719	0.0008179594	0.001749184	0.0011532655	0.0005959185	0.0087938793	0.0087538793	4e-05	0.021691433	0.0259508	0.0087798	0.0021491841	0.0066559197
chr1	198700000	207099999	q32.1	gneg	8399999	0.0280827414	0.0085791677	0.0233446456	0.4057496912	0.0099965488	0.0073423818	0.002654167	0.0067417865	0.0036108338	0.0031309528	0.0330010754	0.0328522658	0.0001488095	0.0713015561	0.0257238	0.0078637	0.0020810717	0.0058066674
chr1	207100000	211299999	q32.2	gpos25	4199999	0.0169961945	0.0053626203	0.0133859556	0.254611013	0.0036738104	0.0022988101	0.0013750003	0.0023614291	0.0008133335	0.0015480956	0.0163435753	0.0159823848	0.0003611906	0.0375588185	0.0266438	0.0080557	0.0020402386	0.0060442872
chr1	211300000	214399999	q32.3	gneg	3099999	0.0220380716	0.0057403244	0.0179661348	0.2694207321	0.0050880662	0.004414195	0.0006738712	0.0025103234	0.0009503229	0.0015600005	0.0240464594	0.0240142013	3.22581e-05	0.0525513073	0.025869	0.0086142	0.0022322588	0.0064164537
chr1	214400000	223899999	q41	gpos100	9499999	0.0179846335	0.0061124217	0.0140610541	0.1820731771	0.0036958951	0.0027922108	0.0009036843	0.0014657896	0.000509579	0.0009562106	0.0087603167	0.0084690535	0.0002912632	0.026661687	0.0262081	0.0078207	0.0020088423	0.0058424217
chr1	223900000	224399999	q42.11	gneg	499999	0.0576841154	0.0151940304	0.0445740891	0.255996512	0.005508011	0.0037800076	0.0017280035	0.0015480031	0.0006520013	0.0008960018	0.0291700583	0.0288820578	0.0002880006	0.0631401263	0.019688	0.007484	0.0019120038	0.0056020112
chr1	224400000	226799999	q42.12	gpos25	2399999	0.027884595	0.0054437523	0.0242345934	0.3155605482	0.0048445854	0.0033895847	0.0014550006	0.0035404181	0.001490834	0.0020495842	0.0186616744	0.018352091	0.0003095835	0.0476850199	0.025255	0.0081779	0.0021166675	0.0060900025
chr1	226800000	230499999	q42.13	gneg	3699999	0.0402870379	0.0085159482	0.0364689288	0.302995217	0.007648921	0.0065259477	0.0011229733	0.0048132445	0.0032891901	0.0015240545	0.0249483851	0.0246400067	0.0003083785	0.0616232599	0.0269935	0.0087538	0.002221352	0.0065694612
chr1	230500000	234599999	q42.2	gpos50	4099999	0.0239692741	0.0071958554	0.0200422	0.248183963	0.0054829282	0.0042390254	0.0012439027	0.0023395128	0.0007985368	0.001540976	0.0147204914	0.0139221985	0.0007982929	0.0411241564	0.0276563	0.0083573	0.0022107322	0.0061665869
chr1	234600000	236399999	q42.3	gneg	1799999	0.040161689	0.0098561166	0.0349450194	0.369790761	0.0058211143	0.0040655578	0.0017555565	0.0037050021	0.002197779	0.0015072231	0.0212294562	0.0210416784	0.0001877779	0.0663655924	0.0270206	0.0098422	0.0026183348	0.0072611151
chr1	236400000	243499999	q43	gpos75	7099999	0.0236201442	0.0078635222	0.0188769041	0.1265653699	0.0028638032	0.0022735214	0.0005902818	0.0015415495	0.0007360564	0.0008054931	0.0080821138	0.007859156	0.0002229578	0.0328411314	0.0271414	0.0085896	0.0023711271	0.0062447896
chr1	243500000	248956421	q44	gneg	5456421	0.0358038722	0.0069864477	0.0317361875	0.1976374257	0.012952263	0.0122164327	0.0007358303	0.0041190003	0.0017557296	0.0023632707	0.0277918438	0.0276236016	0.0001682421	0.0610189353	0.0274752	0.0095603	0.0025379273	0.0070615885
chr2	0	4399999	p25.3	gneg	4399999	0.0808686547	0.0091179566	0.0779125177	0.187578679	0.0030925007	0.0022234096	0.0008690911	0.0028597734	0.0022715914	0.000588182	0.0108063661	0.0104806842	0.0003256819	0.0427261461	0.0306234	0.0095264	0.0022015914	0.0073520471
chr2	4400000	6899999	p25.2	gpos50	2499999	0.0253320101	0.0118948048	0.0197428079	0.1022956409	0.0010856004	0.0007996003	0.0002860001	0.0006768003	0.0004192002	0.0002576001	0.0048504019	0.0048504019	0.0	0.0271352109	0.0306576	0.0082352	0.0020368008	0.0062352025
chr2	6900000	11999999	p25.1	gneg	5099999	0.0292923587	0.0087080409	0.0249207892	0.3334996732	0.0035054909	0.0024145103	0.0010909806	0.0031519614	0.0017078435	0.0014441179	0.0165766699	0.0162717679	0.000304902	0.0555045207	0.0292759	0.0088014	0.002231373	0.0066001974
chr2	12000000	16499999	p24.3	gpos75	4499999	0.0211064491	0.0088286686	0.0168100037	0.1624915917	0.0011488891	0.0006842224	0.0004646668	0.0006357779	0.0002186667	0.0004171112	0.0030888896	0.0030626673	2.62222e-05	0.0171597816	0.028158	0.0089558	0.0022535561	0.0067308904
chr2	16500000	18999999	p24.2	gneg	2499999	0.0166912067	0.0059928024	0.0134052054	0.1523744609	0.0039592016	0.0035696014	0.0003896002	0.0013936006	0.0008592003	0.0005344002	0.0069420028	0.0067920027	0.0001500001	0.0212180085	0.0267872	0.008406	0.0020572008	0.0063728025
chr2	19000000	23799999	p24.1	gpos75	4799999	0.016003545	0.0065650014	0.0123925026	0.191990665	0.004630626	0.0043427092	0.0002879167	0.0008350002	0.0004041668	0.0004308334	0.0100902104	0.0099906271	9.95834e-05	0.0272647973	0.0280552	0.0082221	0.0021379171	0.0061072929
chr2	23800000	27699999	p23.3	gneg	3899999	0.0392705229	0.0068925659	0.034652573	0.2940536651	0.0156933374	0.0135112855	0.0021820518	0.0081341046	0.0038105138	0.0043235909	0.030858213	0.0297969307	0.0010612823	0.0748382243	0.0249836	0.0084572	0.0021135903	0.006373335
chr2	27700000	29799999	p23.2	gpos25	2099999	0.0214004864	0.0067614318	0.0174176273	0.3347682547	0.0054133359	0.0042390496	0.0011742863	0.0036385732	0.0015414293	0.0020971439	0.0129290538	0.0114523864	0.0014766674	0.0372966844	0.0272095	0.0083086	0.0021547629	0.0061814315
chr2	29800000	31799999	p23.1	gneg	1999999	0.0177535089	0.0065375033	0.0135125068	0.2489326245	0.0017865009	0.0012820006	0.0005045003	0.0022230011	0.0015770008	0.0006460003	0.0113855057	0.0112400056	0.0001455001	0.0228860114	0.0294085	0.00802	0.0021855011	0.0058635029
chr2	31800000	36299999	p22.3	gpos75	4499999	0.0270642282	0.0072520016	0.0227002273	0.1285078063	0.0024040005	0.0018657782	0.0005382223	0.0008971113	0.0003560001	0.0005411112	0.0075035572	0.007331335	0.0001722223	0.0269035615	0.0310647	0.0091709	0.0024391117	0.0067624459
chr2	36300000	38299999	p22.2	gneg	1999999	0.0202050101	0.0058875029	0.0163560082	0.3862286931	0.006058003	0.0048530024	0.0012050006	0.0034750017	0.0012170006	0.0022580011	0.0244705122	0.0243325122	0.0001380001	0.0558395279	0.0322485	0.0092145	0.0024685012	0.0067650034
chr2	38300000	41499999	p22.1	gpos50	3199999	0.0226690696	0.0062571895	0.0185643808	0.2234197573	0.0032203135	0.0023837507	0.0008365628	0.0018096881	0.0005928127	0.0012168754	0.0145243795	0.0140784419	0.0004459376	0.0346259483	0.0315444	0.008505	0.0022253132	0.0063021895
chr2	41500000	47499999	p21	gneg	5999999	0.0276020046	0.0069481678	0.0231598372	0.3600322267	0.004194334	0.0030820005	0.0011123335	0.0029798338	0.0015971669	0.0013826669	0.014018669	0.0137365023	0.0002821667	0.0425456738	0.0323935	0.0084625	0.0021688337	0.0063233344
chr2	47500000	52599999	p16.3	gpos100	5099999	0.0181349055	0.0063531385	0.0140578459	0.1241986518	0.0028466672	0.0025107848	0.0003358824	0.0012550983	0.0005856864	0.0006694119	0.0101311785	0.0099551	0.0001760785	0.0237974556	0.0317553	0.0083467	0.0021829416	0.0061913738
chr2	52600000	54699999	p16.2	gneg	2099999	0.0206695337	0.0059571457	0.0164519126	0.197357713	0.0030661919	0.0021585725	0.0009076195	0.0016414294	0.0008838099	0.0007576194	0.0098538142	0.009750957	0.0001028572	0.0248847738	0.031881	0.0085567	0.0020619057	0.006514765
chr2	54700000	60999999	p16.1	gpos100	6299999	0.0176036536	0.005961747	0.0139201609	0.1737128847	0.0026839687	0.0020296829	0.0006542858	0.001447778	0.0005755556	0.0008722224	0.0119123828	0.0117576209	0.0001547619	0.0337422276	0.0291468	0.0081248	0.0020876194	0.0060687311
chr2	61000000	63899999	p15	gneg	2899999	0.0294431136	0.005942071	0.0258096641	0.2082728304	0.0044444843	0.0034537943	0.00099069	0.0049724155	0.0029365527	0.0020358628	0.0105355209	0.0103862105	0.0001493104	0.0454265674	0.0249621	0.0082266	0.0020593111	0.0061944849
chr2	63900000	68399999	p14	gpos50	4499999	0.0182215596	0.0066524459	0.0138806698	0.2639391698	0.0028768895	0.0019513338	0.0009255558	0.0019080004	0.0004164445	0.0014915559	0.011149558	0.0105504468	0.0005991112	0.0331893407	0.0272705	0.0090864	0.0023968894	0.0067228904
chr2	68400000	71299999	p13.3	gneg	2899999	0.0341207014	0.0062220711	0.0304669071	0.3426221871	0.0070596576	0.0056544847	0.0014051729	0.0042472428	0.0025579319	0.0016893109	0.0356982882	0.0350631155	0.0006351726	0.0715489902	0.0271759	0.008829	0.002325518	0.0065310367
chr2	71300000	73299999	p13.2	gpos50	1999999	0.0197260099	0.0070460035	0.0154450077	0.2314576157	0.0062610031	0.0037185019	0.0025425013	0.0023640012	0.0011580006	0.0012060006	0.0147280074	0.0143675072	0.0003605002	0.0316620158	0.0253935	0.007865	0.001945501	0.005945503
chr2	73300000	74799999	p13.1	gneg	1499999	0.026982018	0.0061086707	0.0233500156	0.2473348316	0.022968682	0.0209213473	0.0020473347	0.0100840067	0.0066180044	0.0034660023	0.0385980257	0.0373433582	0.0012546675	0.110489407	0.0254734	0.00843	0.0021900015	0.0062713375
chr2	74800000	83099999	p12	gpos100	8299999	0.017977713	0.0060803622	0.0142502427	0.0703992856	0.0008771085	0.0007138555	0.000163253	0.0006838555	0.0002920482	0.0003918073	0.0029850606	0.0025060244	0.0004790362	0.0125056642	0.0284575	0.0090148	0.0022133738	0.0068343382
chr2	83100000	91799999	p11.2	gneg	8699999	0.045746557	0.0129251739	0.0389387401	0.1867607111	0.0048794258	0.004111035	0.0007683909	0.0020491956	0.0008211495	0.0012280461	0.012006783	0.0116341393	0.0003726437	0.0377058664	0.016031	0.0050824	0.0012920691	0.0038094257
chr2	91800000	93899999	p11.1	acen	2099999	0.8509980243	0.0035985731	0.8503623097	0.0198976285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023828583	0.00162	0.0003252	6.57143e-05	0.0002604763
chr2	93900000	95999999	q11.1	acen	2099999	0.2003872383	0.0075647655	0.1975796179	0.1160233886	0.0039833352	0.0034285731	0.0005547622	0.0028028585	0.0009871433	0.0018157152	0.0155447693	0.01497715	0.0005676193	0.0592943139	0.0132457	0.0042724	0.0008871433	0.0034071445
chr2	96000000	102099999	q11.2	gneg	6099999	0.0361077108	0.0066659027	0.0319186938	0.3108190673	0.0065068863	0.0044054106	0.0021014758	0.0035191809	0.0018609839	0.001658197	0.0192381999	0.0187103309	0.0005278689	0.0502444345	0.0234562	0.0071695	0.0019319675	0.0052601648
chr2	102100000	105299999	q12.1	gpos50	3199999	0.0183962557	0.0076637524	0.0137587543	0.1577675493	0.0027675009	0.0020840632	0.0006834377	0.0019528131	0.0009550003	0.0009978128	0.0089612528	0.0089009403	6.03125e-05	0.0331378229	0.027195	0.0071016	0.0017784381	0.0053421892
chr2	105300000	106699999	q12.2	gneg	1399999	0.0220171586	0.0078700056	0.0167342977	0.3487838206	0.0045142889	0.0027857163	0.0017285727	0.0033292881	0.0016335726	0.0016957155	0.0119928657	0.0106392933	0.0013535724	0.0302307359	0.0268357	0.0084964	0.002243573	0.0062807188
chr2	106700000	108699999	q12.3	gpos25	1999999	0.0234145117	0.0067295034	0.0191970096	0.1341655671	0.004060502	0.0036820018	0.0003785002	0.0017240009	0.0002285001	0.0014955007	0.011939506	0.0109825055	0.0009570005	0.0330790165	0.0255965	0.0081145	0.001916501	0.0062220031
chr2	108700000	112199999	q13	gneg	3499999	0.0253737215	0.0066262876	0.0212505775	0.3232238066	0.0061194303	0.00503543	0.0010840003	0.0028220008	0.0015651433	0.0012568575	0.0138748611	0.0131634323	0.0007114288	0.0583074452	0.0176163	0.0056331	0.0014131433	0.0042382869
